"id","vignette","structure","p_C","p_A","cause","conf","attn_check","duration","age","sex"
"R_1QgZ1HwLFP1wEaG","ducks","con",0.8,0.8,0.801,0.868,"Yes.",2.8,21,"Male"
"R_1QgZ1HwLFP1wEaG","fruit","con",0.4,0.9,0.306,0.782,"Yes.",2.8,21,"Male"
"R_1QgZ1HwLFP1wEaG","wheels","con",1,0.1,0.272,0.585,"Yes.",2.8,21,"Male"
"R_2COMgmvULBfafat","cards","con",0.4,0.1,0.41,0.173,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","casino","dis",0.2,0.5,1,1,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","chores","con",0.2,0.3,0.856,0.851,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","ducks","con",1,0.2,0.275,0.211,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","fruit","con",0.5,0.1,1,1,"Yes.",3.11666666666667,33,"Female"
"R_2COMgmvULBfafat","wheels","dis",0.9,0.2,0.62,0.414,"Yes.",3.11666666666667,33,"Female"
"R_DhOhSwR3tBDOGAh","cards","dis",0.3,1,0,1,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","casino","con",0.5,0.3,0.392,1,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","chores","dis",0.1,0.3,0.925,1,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","ducks","dis",0.8,0.4,0.845,0.973,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","fruit","dis",0.6,0.1,0.715,1,"Yes.",4.66666666666667,30,"Male"
"R_DhOhSwR3tBDOGAh","wheels","con",0.2,0.2,0.635,1,"Yes.",4.66666666666667,30,"Male"
"R_2P0gXdWZ6QnHPJH","cards","con",0.6,0.1,0.587,1,"Yes.",10.05,44,"Male"
"R_2P0gXdWZ6QnHPJH","casino","dis",1,0.4,1,1,"Yes.",10.05,44,"Male"
"R_2P0gXdWZ6QnHPJH","chores","con",0.8,0.2,0.741,1,"Yes.",10.05,44,"Male"
"R_2P0gXdWZ6QnHPJH","ducks","dis",0.8,0.9,0.666,1,"Yes.",10.05,44,"Male"
"R_2P0gXdWZ6QnHPJH","fruit","dis",0.7,0.3,0.604,1,"Yes.",10.05,44,"Male"
"R_2P0gXdWZ6QnHPJH","wheels","dis",0.3,0.4,0.825,1,"Yes.",10.05,44,"Male"
"R_2SuDSHs3eRVJNXO","cards","con",0.4,1,0.848,0.978,"Yes.",3.48333333333333,18,"Female"
"R_2SuDSHs3eRVJNXO","casino","con",0.1,0.5,0.955,0.966,"Yes.",3.48333333333333,18,"Female"
"R_2SuDSHs3eRVJNXO","chores","con",1,0.4,0.81,0.814,"Yes.",3.48333333333333,18,"Female"
"R_2SuDSHs3eRVJNXO","ducks","con",0.1,0.4,0.924,0.987,"Yes.",3.48333333333333,18,"Female"
"R_2SuDSHs3eRVJNXO","fruit","con",0.1,0.3,0.949,0.969,"Yes.",3.48333333333333,18,"Female"
"R_2SuDSHs3eRVJNXO","wheels","con",0.4,0.9,0.89,0.947,"Yes.",3.48333333333333,18,"Female"
"R_323nmZ6tsWf8n9R","cards","dis",0.7,0.5,1,1,"Yes.",7.68333333333333,60,"Male"
"R_323nmZ6tsWf8n9R","casino","con",0.7,0.2,1,1,"Yes.",7.68333333333333,60,"Male"
"R_323nmZ6tsWf8n9R","chores","con",1,0.6,1,1,"Yes.",7.68333333333333,60,"Male"
"R_323nmZ6tsWf8n9R","ducks","con",1,0.3,1,1,"Yes.",7.68333333333333,60,"Male"
"R_323nmZ6tsWf8n9R","fruit","dis",0.5,0.5,1,1,"Yes.",7.68333333333333,60,"Male"
"R_323nmZ6tsWf8n9R","wheels","dis",0.4,0.1,1,1,"Yes.",7.68333333333333,60,"Male"
"R_SDcPZ3QBC8MRMul","cards","con",0.6,0.5,0.694,1,"Yes.",7.66666666666667,34,"Male"
"R_SDcPZ3QBC8MRMul","casino","dis",0.9,1,0.062,1,"Yes.",7.66666666666667,34,"Male"
"R_SDcPZ3QBC8MRMul","chores","con",0.1,0.5,0.817,1,"Yes.",7.66666666666667,34,"Male"
"R_SDcPZ3QBC8MRMul","ducks","dis",0.7,0.1,0.607,1,"Yes.",7.66666666666667,34,"Male"
"R_SDcPZ3QBC8MRMul","fruit","con",0.9,1,0.717,1,"Yes.",7.66666666666667,34,"Male"
"R_SDcPZ3QBC8MRMul","wheels","con",0.1,0.5,0.745,1,"Yes.",7.66666666666667,34,"Male"
"R_0cDvj3VTMAe0MfL","cards","dis",0.3,0.3,0.51,1,"Yes.",3.83333333333333,36,"Female"
"R_0cDvj3VTMAe0MfL","casino","dis",0.3,0.5,0.51,1,"Yes.",3.83333333333333,36,"Female"
"R_0cDvj3VTMAe0MfL","chores","con",0.7,1,1,1,"Yes.",3.83333333333333,36,"Female"
"R_0cDvj3VTMAe0MfL","ducks","con",0.9,0.4,0.51,1,"Yes.",3.83333333333333,36,"Female"
